unitid,weightedEnrollment,totalEnrollment,locale,InstControl,cbsatype,TotalRate,UGaidrate,FallNonResRate,FallResRate,FallDistRate,ResCost,NonResCost,AvgSalary,TotalStaff,SalariesPaid,staffperstu
155025,-55.86557209,731,3,Public,2,49.93,76.96,7.3,92.7,,5278,13195,61594.295238,210,12934802,0.29
155061,74.134427912,861,3,Public,2,50.75,41.84,16.5,83.5,,4140,14580,67644.762658,316,21375745,0.37
155070,-753.8655721,33,4,Private not-for-profit,3,57.58,100,,,,18000,18000,41906.333333,12,502876,0.36
155089,-622.8655721,164,1,Private not-for-profit,1,40.24,86.14,,,,30264,30264,60039.166667,36,2161410,0.22
155177,-774.8655721,12,3,Private not-for-profit,1,75,98.89,,,,29252,29252,46189.714286,21,969984,1.75
155317,3240.1344279,4027,1,Public,1,66.03,69.54,40.13,59.87,,10092,26960,99472.096958,1052,104644646,0.26
155335,-628.8655721,158,1,Private not-for-profit,1,62.66,56.31,,,,32400,32400,62721.682927,41,2571589,0.26
155399,2769.1344279,3556,1,Public,1,68.42,73.21,22.97,77.03,,9489,25560,86063.376197,731,62912328,0.21
155414,-628.8655721,158,3,Private not-for-profit,2,39.24,100,,,,31020,31020,53522,46,2462012,0.29
155511,-594.8655721,192,3,Private not-for-profit,2,52.6,94.63,,,,31396,31396,65182.775,40,2607311,0.21
155520,-601.8655721,185,2,Private not-for-profit,1,45.41,71.77,,,,33090,33090,60912.47619,21,1279162,0.11
155627,-634.8655721,152,3,Private not-for-profit,2,33.55,100,,,,33380,33380,60731.833333,18,1093173,0.12
155681,223.13442791,1010,3,Public,2,51.88,79.3,1.51,98.49,,5836,17180,65146.42562,242,15765435,0.24
155812,-651.8655721,135,3,Private not-for-profit,1,46.67,91.48,,,,30580,30580,53731.828571,35,1880614,0.26
155900,-697.8655721,89,3,Private not-for-profit,2,40.45,66.75,,,,34750,34750,59480.787879,33,1962866,0.37
155973,-636.8655721,150,3,Private not-for-profit,3,48,95.39,,,,33400,33400,49861.875,24,1196685,0.16
156082,-107.8655721,679,1,Public,1,51.1,75.86,2.24,97.76,,8762,19766,70931.320755,212,15037440,0.31
156125,480.13442791,1267,1,Public,1,47.67,59.32,23.3,76.7,,6843,16208,76574.656174,413,31625333,0.33
156189,-595.8655721,191,4,Private not-for-profit,3,29.32,98.07,,,,12000,12000,46200.689655,29,1339820,0.15
156213,-475.8655721,311,3,Private not-for-profit,1,64.95,85.5,,,,32084,32084,58853.097222,72,4237423,0.23
156286,-79.86557209,707,1,Private not-for-profit,1,65.21,97.51,,,,42970,42970,75620.076271,118,8923169,0.17
156295,-356.8655721,430,3,Private not-for-profit,2,65.58,100,,,,42900,42900,74046.858108,148,10958935,0.34
156356,-649.8655721,137,1,Private not-for-profit,1,49.64,17.36,,,,26000,26000,52117.948718,39,2032600,0.28
156365,-320.8655721,466,3,Private not-for-profit,2,37.34,42.3,,,,24900,24900,56711.690265,113,6408421,0.24
156408,-412.8655721,374,3,Private not-for-profit,2,86.36,99.1,,,,46000,46000,76888.13986,143,10995004,0.38
156620,1651.1344279,2438,3,Public,2,52.09,77.47,14.69,85.27,,9452,19724,65480.095445,461,30186324,0.19
156745,-504.8655721,282,3,Private not-for-profit,1,56.38,97.39,,,,40210,40210,58645.329114,79,4632981,0.28
157030,-774.8655721,12,4,Private not-for-profit,3,58.33,100,,,,8850,8850,3691.6666667,3,11075,0.25
157058,-616.8655721,170,3,Public,2,38.82,72.86,60.53,39.47,,7700,11550,63682.7625,80,5094621,0.47
157076,-605.8655721,181,1,Private not-for-profit,1,45.86,97.07,,,,28400,28400,50593.044444,45,2276687,0.25
157085,4326.1344279,5113,1,Public,1,67.85,88.34,32.42,67.58,,11247,30245,100859.46298,1013,102170636,0.2
157100,-679.8655721,107,3,Private not-for-profit,1,36.45,83.83,,,,21530,21530,42525.52381,21,893036,0.2
157216,-274.8655721,512,3,Private not-for-profit,3,40.23,99.38,,,,25440,25440,58200.52381,63,3666633,0.12
157377,-740.8655721,46,4,Private not-for-profit,1,60.87,93.99,,,,24500,24500,58208.242424,33,1920872,0.72
157386,585.13442791,1372,3,Public,3,44.97,80.81,9.44,90.56,,9082,13726,59785.912879,264,15783481,0.19
157401,664.13442791,1451,3,Public,2,56.03,92.5,36.49,63.51,,8040,17316,64574.432,375,24215412,0.26
157447,1247.1344279,2034,2,Public,1,49.85,83.63,33.98,66.02,,10008,20064,74033.375502,498,36868621,0.24
157535,-515.8655721,271,3,Private not-for-profit,3,32.84,94.66,,,,22500,22500,59802.893939,66,3946991,0.24
157809,-519.8655721,267,2,Private not-for-profit,1,51.31,76.64,,,,33060,33060,60145.259259,81,4871766,0.3
157818,-478.8655721,308,1,Private not-for-profit,1,73.38,99.48,,,,40800,40800,69745.885057,87,6067892,0.28
157863,-573.8655721,213,3,Private not-for-profit,2,37.09,93.14,,,,27119,27119,44732.756098,41,1834043,0.19
157951,1927.1344279,2714,1,Public,1,57.92,82.28,24.03,75.97,,10992,27000,67945.806723,595,40427755,0.22
158477,-629.8655721,157,1,Private not-for-profit,1,56.69,99.09,,,,38060,38060,70782.555556,54,3822258,0.34
